state,year,utility,design,plant,reissue,total,sirs,ssf,ssjc,sse,reallocation,ppf,ppyf,ppjc,ppyjc,ppe,ppye,firms,newfirms,jc,newjc,emp,nemp
AL,1992,258,39,0,2,299,2,10.51,17.93,3.05,29.4,4.67786851904002,44.49404761904762,1.3552776506103281,7.557184380133957,0.22020381004144102,7.223792611920466,63918,6720,220619,39565,1357833,41391
AL,1993,271,51,1,1,324,0,10.91,17.9,2.79,26.0,4.95458298926507,45.409950946040645,1.488389186209431,8.313234464001642,0.2310371285222466,8.28496177154985,65394,7135,217685,38974,1402372,39107
AL,1994,259,76,3,0,338,0,11.51,21.41,3.32,26.8,5.029462531992143,43.69747899159663,1.5248028583286717,7.122537140448846,0.23617964746344455,7.104721066128558,67204,7735,221668,47455,1431114,47574
AL,1995,282,70,4,3,359,0,11.3,18.279999999999998,3.06,23.8,5.2047088842495945,46.04335000641272,1.431253961862464,7.830904807608411,0.23853123230948728,7.795366208498904,68976,7797,250829,45844,1505044,46053
AL,1996,278,57,1,0,336,0,11.15,17.150000000000002,2.69,28.4,4.783122410921463,42.88449266113593,1.408940904154279,8.215962441314554,0.21966340505735765,8.169219547775347,70247,7835,238477,40896,1529613,41130
AL,1997,300,45,0,0,345,0,10.86,17.380000000000003,2.96,32.2,4.8510243394873385,44.67754467754468,1.319664919863826,7.592095418335461,0.22342331140546862,7.5575027382256295,71119,7722,261430,45442,1544154,45650
AL,1998,366,54,2,1,423,0,10.489999999999998,19.650000000000002,3.1199999999999997,29.4,5.942346594740391,56.67202572347267,1.707083792389554,8.687972395662175,0.27041471260605626,8.660933660933662,71184,7464,247791,48688,1564264,48840
AL,1999,401,62,2,4,469,0,10.0,18.43,3.0,29.0,6.586616108419353,65.87078651685394,1.807906991087674,9.81027882946012,0.29189393731935565,9.716381114172657,71205,7120,259416,47807,1606748,48269
AL,2000,337,58,0,0,395,0,9.180000000000001,14.71,2.34,27.6,5.595851986173287,60.966198487420904,1.5205115077700064,10.335173604751562,0.24049599406735958,10.260806317539485,70588,6479,259781,38219,1642439,38496
AL,2001,382,65,5,0,452,1,8.649999999999999,16.41,2.29,27.2,6.462312707308704,74.67371551296878,2.0498215476152684,12.492399535680725,0.281974821894222,12.331196289728549,69944,6053,220507,36182,1602980,36655
AL,2002,398,38,3,2,441,0,9.049999999999999,15.82,2.5700000000000003,32.2,6.293077614623914,69.5364238410596,1.7244615456806345,10.899115219218032,0.2805621931947445,10.899115219218032,70077,6342,255732,40462,1571844,40462
AL,2003,397,55,5,2,459,0,9.120000000000001,17.06,2.69,27.0,6.520905255082471,71.48419249338109,1.8335503766967332,10.745639705021656,0.2890228006876098,10.745639705021656,70389,6421,250334,42715,1588110,42715
AL,2004,375,33,4,0,412,0,9.120000000000001,15.809999999999999,2.4899999999999998,27.0,5.800366042517246,63.59987650509416,1.627390723872874,10.2933093489232,0.25551068958738127,10.255899631584189,71030,6478,253166,40026,1612457,40172
AL,2005,318,37,4,0,359,0,9.24,16.04,2.6599999999999997,26.8,4.9922127044165086,54.025583145221965,1.3122496125391117,8.179353398190974,0.216336868442477,8.134871178989826,71912,6645,273576,43891,1659449,44131
AL,2006,357,70,1,1,429,1,9.42,18.63,2.9899999999999998,26.6,5.962142479917725,63.26500516148061,1.573688226317643,8.447376193757998,0.2520900261080649,8.417541450014715,71954,6781,272608,50785,1701773,50965
AL,2007,300,55,2,1,358,0,9.25,15.509999999999998,2.52,29.4,4.8879058463723,52.833530106257385,1.3005460113561644,8.385842449228175,0.20836134280155214,8.25208030795473,73242,6776,275269,42691,1718169,43383
