State,Year,Utility,Design,Plant,Reissue,Total,SIRS
AZ,1992,836,61,0,3,900,2
AZ,1993,848,75,0,5,929,1
AZ,1994,929,121,2,1,1053,0
AZ,1995,999,117,2,1,1119,0
AZ,1996,1062,83,2,6,1153,0
AZ,1997,1049,114,0,0,1163,0
AZ,1998,1514,161,0,3,1678,0
AZ,1999,1498,118,1,5,1622,0
AZ,2000,1595,151,1,9,1756,0
AZ,2001,1540,158,0,4,1702,0
AZ,2002,1587,107,0,5,1699,0
AZ,2003,1582,127,0,5,1714,0
AZ,2004,1621,103,2,4,1730,0
AZ,2005,1457,137,0,4,1598,0
AZ,2006,1705,183,0,5,1893,0
AZ,2007,1571,249,0,6,1826,0
AZ,2008,1584,303,0,5,1892,0
AZ,2009,1562,190,4,3,1759,0
AZ,2010,1976,179,1,13,2169,0
AZ,2011,2069,172,2,5,2248,0
AZ,2012,2210,152,1,7,2370,0
AZ,2013,2225,196,2,4,2427,0
AZ,2014,2517,146,3,5,2671,0
