State,Year,Utility,Design,Plant,Reissue,Total,SIRS
CA,1992,7,1,128,33,9,11
CA,1993,8170,1211,159,28,9579,11
CA,1994,8956,1238,168,31,10393,14
CA,1995,9262,1398,112,36,10808,16
CA,1996,10474,1329,107,36,11946,12
CA,1997,11289,1475,114,25,12903,12
CA,1998,15793,1890,112,29,17824,7
CA,1999,16778,1950,81,46,18855,10
CA,2000,17492,2162,132,58,19844,1
CA,2001,18598,2014,194,48,20854,9
CA,2002,18831,2080,267,56,21234,4
CA,2003,19692,2138,197,48,22075,4
CA,2004,19488,1861,210,42,21601,1
CA,2005,17989,1532,106,29,19656,6
CA,2006,22275,2531,165,68,25039,4
CA,2007,19600,2799,127,68,22594,7
CA,2008,19181,2766,180,73,22200,2
CA,2009,20646,2506,135,67,23354,0
CA,2010,27337,2515,101,123,30076,4
CA,2011,28148,2364,94,142,30748,2
CA,2012,32107,2369,84,99,34659,1
CA,2013,36193,2705,133,108,39139,0
CA,2014,40661,2828,119,71,43679,0
CA,2015,40196,3230,103,80,43609,0
