State,Year,Utility,Design,Plant,Reissue,Total,SIRS
CT,1992,1,157,0,9,1,1
CT,1993,1544,194,0,8,1749,3
CT,1994,1608,219,0,6,1833,1
CT,1995,1544,211,3,8,1766,2
CT,1996,1453,228,2,3,1686,0
CT,1997,1404,237,2,2,1645,0
CT,1998,1798,267,1,5,2071,0
CT,1999,1795,223,0,8,2026,0
CT,2000,1826,251,0,9,2086,0
CT,2001,1853,213,0,5,2071,0
CT,2002,1805,173,2,11,1991,0
CT,2003,1667,169,1,7,1844,0
CT,2004,1577,141,0,4,1722,1
CT,2005,1520,149,4,4,1677,0
CT,2006,1652,196,5,4,1857,0
CT,2007,1384,220,1,6,1611,0
CT,2008,1356,231,2,6,1595,0
CT,2009,1416,238,4,3,1661,0
CT,2010,1875,219,2,15,2111,0
CT,2011,1939,170,1,11,2121,0
CT,2012,2108,180,2,7,2297,0
CT,2013,2168,202,1,4,2375,1
CT,2014,2309,187,0,6,2502,0
CT,2015,2158,202,0,7,2367,0
