State,Year,Utility,Design,Plant,Reissue,Total,SIRS
DC,1992,59,7,0,1,67,1
DC,1993,53,6,0,1,61,1
DC,1994,44,4,0,0,48,0
DC,1995,57,5,0,1,63,0
DC,1996,40,2,0,0,42,0
DC,1997,52,7,0,0,59,0
DC,1998,74,9,0,2,85,0
DC,1999,55,6,0,2,63,0
DC,2000,62,3,0,0,65,0
DC,2001,67,5,0,1,73,0
DC,2002,61,4,0,0,65,0
DC,2003,49,1,0,0,50,0
DC,2004,75,5,0,0,80,0
DC,2005,55,4,0,0,59,0
DC,2006,63,6,0,0,69,0
DC,2007,63,8,0,0,71,0
DC,2008,68,3,0,0,71,0
DC,2009,57,4,0,1,62,0
DC,2010,82,5,0,0,87,0
DC,2011,97,4,0,1,102,0
DC,2012,131,17,0,0,148,0
DC,2013,133,8,0,0,141,0
DC,2014,161,10,0,0,171,0
DC,2015,146,21,0,0,167,0
