State,Year,Utility,Design,Plant,Reissue,Total,SIRS
DE,1992,522,18,0,2,542,0
DE,1993,507,13,1,0,525,4
DE,1994,440,11,0,0,451,2
DE,1995,427,13,0,1,441,1
DE,1996,454,13,0,4,471,1
DE,1997,357,11,0,0,368,2
DE,1998,395,27,0,1,423,2
DE,1999,417,20,1,4,442,2
DE,2000,395,29,0,2,426,1
DE,2001,382,38,1,3,424,2
DE,2007,330,28,0,1,359,0
DE,2008,325,28,0,0,353,0
DE,2009,311,30,0,1,342,0
DE,2010,367,23,0,1,391,0
DE,2011,418,39,0,0,457,0
DE,2012,445,40,0,0,485,0
DE,2013,453,20,0,3,476,1
DE,2014,442,21,1,2,466,0
DE,2015,361,15,0,0,376,Not Provided
