State,Year,Utility,Design,Plant,Reissue,Total,SIRS
FL,1993,1777,316,12,9,2117,3
FL,1994,1887,375,27,5,2294,4
FL,1995,2002,439,18,4,2463,3
FL,1996,2083,404,15,4,2506,4
FL,1997,2159,358,30,3,2550,2
FL,1998,2668,413,28,5,3114,2
FL,1999,2603,401,30,9,3043,0
FL,2000,2603,492,16,14,3125,3
FL,2001,2649,440,44,14,3147,2
FL,2007,2358,642,83,9,3092,0
FL,2008,2046,680,70,12,2808,0
FL,2009,2197,632,64,6,2899,0
FL,2010,2978,670,58,17,3723,1
FL,2011,3136,658,22,25,3841,0
FL,2012,3686,707,48,12,4453,0
FL,2013,3953,731,54,23,4761,0
FL,2014,4210,775,28,9,5022,0
FL,2015,4054,782,58,19,4913,Not Provided
