State,Year,Utility,Design,Plant,Reissue,Total,SIRS
HI,1992,70,11,0,0,81,0
HI,1993,80,22,4,0,106,0
HI,1994,73,24,2,0,99,0
HI,1995,66,16,2,0,84,0
HI,1996,80,23,1,0,104,0
HI,1997,77,14,2,0,93,0
HI,1998,84,9,0,0,93,0
HI,1999,83,9,5,0,97,0
HI,2000,77,14,2,0,93,0
HI,2001,95,9,1,2,107,0
HI,2002,73,10,7,0,90,1
HI,2003,75,20,1,0,96,0
HI,2004,76,9,0,1,86,0
HI,2005,50,7,1,0,58,0
HI,2006,84,14,2,1,101,0
HI,2007,64,16,0,2,82,0
HI,2008,77,23,1,0,101,0
HI,2009,71,17,8,0,96,0
HI,2010,121,21,2,0,144,0
HI,2011,101,23,2,2,128,0
HI,2012,108,21,1,1,131,0
HI,2013,125,19,1,1,146,0
HI,2014,136,21,3,0,160,0
