State,Year,Utility,Design,Plant,Reissue,Total,SIRS
ID,1992,239,19,0,1,259,3
ID,1993,332,23,0,1,358,2
ID,1994,330,33,0,3,366,3
ID,1995,305,21,0,1,327,2
ID,1996,364,27,0,1,392,0
ID,1997,565,30,0,2,597,0
ID,1998,855,33,0,10,898,0
ID,1999,1222,32,0,7,1261,0
ID,2000,1570,36,0,8,1614,0
ID,2001,1697,35,1,4,1737,0
ID,2007,1350,34,0,4,1388,0
ID,2008,1162,41,0,4,1207,0
ID,2009,941,38,0,6,985,0
ID,2010,1095,62,0,5,1162,0
ID,2011,1032,51,0,6,1089,0
ID,2012,930,46,0,3,979,0
ID,2013,992,30,0,7,1029,0
ID,2014,1012,33,0,0,1045,0
ID,2015,865,42,0,2,909,Not Provided
