State,Year,Utility,Design,Plant,Reissue,Total,SIRS
IL,1993,2846,447,5,14,3321,9
IL,1994,2834,477,2,5,3318,4
IL,1995,2873,590,3,8,3474,4
IL,1996,3144,508,12,8,3672,2
IL,1997,3007,516,4,10,3537,2
IL,1998,3727,633,0,5,4365,1
IL,1999,3736,549,5,14,4304,4
IL,2000,3833,641,6,22,4502,12
IL,2001,3640,610,6,10,4266,7
IL,2007,2894,802,6,9,3711,1
IL,2008,2741,815,16,8,3580,1
IL,2009,2898,699,10,8,3615,0
IL,2010,3611,739,11,13,4374,0
IL,2011,3806,767,3,18,4594,0
IL,2012,4345,704,11,18,5078,0
IL,2013,4644,679,16,18,5357,0
IL,2014,5106,785,20,13,5924,0
IL,2015,5028,805,17,12,5862,Not Provided
