State,Year,Utility,Design,Plant,Reissue,Total,SIRS
IN,1993,972,129,4,2,1107,0
IN,1994,1038,123,1,3,1165,1
IN,1995,1110,163,1,6,1280,0
IN,1996,1278,138,0,1,1417,1
IN,1997,1215,113,1,2,1331,0
IN,1998,1372,185,1,2,1560,0
IN,1999,1438,260,1,6,1705,1
IN,2000,1428,269,0,4,1701,0
IN,2001,1358,213,18,4,1593,2
IN,2007,1137,238,3,3,1381,4
IN,2008,985,202,0,8,1195,1
IN,2009,1095,147,0,4,1246,0
IN,2010,1492,198,1,6,1697,0
IN,2011,1437,187,2,7,1633,0
IN,2012,1741,218,0,4,1963,0
IN,2013,1921,244,0,2,2167,0
IN,2014,2049,213,1,2,2265,0
IN,2015,2033,239,2,4,2278,Not Provided
