State,Year,Utility,Design,Plant,Reissue,Total,SIRS
KY,1992,259,37,0,1,297,0
KY,1993,277,43,0,3,323,0
KY,1994,285,53,0,1,339,0
KY,1995,272,66,0,3,341,0
KY,1996,319,76,0,1,396,0
KY,1997,291,54,1,4,350,0
KY,1998,349,53,1,1,404,0
KY,1999,452,54,1,1,508,0
KY,2000,458,56,0,3,517,0
KY,2001,481,62,0,3,546,1
KY,2002,450,46,0,0,496,0
KY,2003,438,55,0,1,494,1
KY,2004,407,56,0,0,463,0
KY,2005,346,30,0,1,377,0
KY,2006,413,57,0,1,471,0
KY,2007,429,75,0,1,505,0
KY,2008,413,54,0,2,469,0
KY,2009,368,88,0,1,457,0
KY,2010,536,64,0,1,601,0
KY,2011,488,59,1,3,551,0
KY,2012,543,76,0,1,620,0
KY,2013,553,69,1,2,625,0
KY,2014,646,63,2,3,714,0
KY,2015,663,46,5,2,716,0
