State,Year,Utility,Design,Plant,Reissue,Total,SIRS
LA,1992,488,36,1,1,526,0
LA,1993,431,47,0,2,482,2
LA,1994,403,33,0,6,442,0
LA,1995,370,41,0,1,412,1
LA,1996,400,42,0,2,444,0
LA,1997,377,31,0,1,409,0
LA,1998,485,42,12,3,542,0
LA,1999,483,33,0,3,519,0
LA,2000,518,54,4,3,579,0
LA,2001,520,35,5,2,562,0
LA,2007,262,31,1,0,294,0
LA,2008,260,55,3,4,322,0
LA,2009,257,55,3,0,315,0
LA,2010,304,48,1,2,355,0
LA,2011,308,52,6,2,368,0
LA,2012,364,47,33,1,445,0
LA,2013,395,40,3,1,439,0
LA,2014,434,43,10,0,487,0
LA,2015,399,38,8,1,446,Not Provided
