State,Year,Utility,Design,Plant,Reissue,Total,SIRS
MA,1992,2,199,5,18,2,3
MA,1993,2210,276,7,11,2505,1
MA,1994,2339,299,3,8,2649,1
MA,1995,2161,258,2,6,2427,0
MA,1996,2452,245,6,7,2710,3
MA,1997,2575,243,4,8,2830,1
MA,1998,3413,314,3,5,3735,0
MA,1999,3523,285,2,12,3822,0
MA,2000,3463,362,2,12,3839,2
MA,2001,3667,290,1,14,3972,0
MA,2002,3608,214,4,11,3837,0
MA,2003,3909,273,1,8,4191,1
MA,2004,3672,225,2,5,3904,2
MA,2005,3114,177,4,6,3301,2
MA,2006,4011,336,8,13,4368,1
MA,2007,3510,313,6,6,3835,2
MA,2008,3516,355,8,17,3896,1
MA,2009,3696,330,3,9,4038,0
MA,2010,4923,315,3,19,5260,1
MA,2011,5191,310,10,15,5526,0
MA,2012,5734,362,4,19,6119,0
MA,2013,6409,336,2,18,6765,2
MA,2014,6725,337,2,15,7079,0
MA,2015,6777,442,3,12,7234,0
