State,Year,Utility,Design,Plant,Reissue,Total,SIRS
MD,1993,999,71,0,1,1088,17
MD,1994,1058,106,3,5,1172,6
MD,1995,984,98,0,3,1085,14
MD,1996,1102,97,4,1,1204,5
MD,1997,1170,85,0,2,1257,6
MD,1998,1442,122,4,0,1568,6
MD,1999,1510,116,0,4,1630,12
MD,2000,1355,113,1,5,1474,9
MD,2001,1483,146,2,5,1636,5
MD,2002,1460,133,8,7,1608,4
MD,2003,1453,114,3,7,1577,2
MD,2004,1313,116,2,5,1436,4
MD,2005,1191,85,3,4,1283,1
MD,2006,1410,136,1,9,1556,2
MD,2007,1246,156,0,6,1408,1
MD,2008,1232,185,4,6,1427,2
MD,2009,1277,156,5,6,1444,1
MD,2010,1578,143,3,7,1731,1
MD,2011,1511,115,1,11,1638,1
MD,2012,1609,101,1,4,1715,0
MD,2013,1748,134,1,6,1889,0
MD,2014,1851,143,0,11,2005,0
