State,Year,Utility,Design,Plant,Reissue,Total,SIRS
ME,1992,106,22,0,1,129,0
ME,1993,114,28,0,0,142,0
ME,1994,118,22,0,0,140,0
ME,1995,113,24,0,0,137,0
ME,1996,99,15,0,0,114,0
ME,1997,93,16,0,0,109,0
ME,1998,123,20,0,1,144,0
ME,1999,121,24,0,0,145,0
ME,2000,127,24,0,0,151,0
ME,2001,145,11,0,0,156,0
ME,2007,110,16,0,0,126,0
ME,2008,113,22,0,1,136,0
ME,2009,118,10,0,2,130,0
ME,2010,211,8,0,1,220,0
ME,2011,183,18,0,1,202,0
ME,2012,211,11,0,0,222,0
ME,2013,234,9,0,0,243,0
ME,2014,212,7,0,3,222,0
ME,2015,201,22,0,3,226,Not Provided
