State,Year,Utility,Design,Plant,Reissue,Total,SIRS
MI,1993,2875,227,3,7,3113,1
MI,1994,2928,261,3,23,3215,1
MI,1995,2780,253,3,9,3045,3
MI,1996,3178,270,0,5,3453,3
MI,1997,2839,221,4,11,3075,1
MI,1998,3511,295,9,14,3829,0
MI,1999,3690,332,2,15,4039,0
MI,2000,3724,369,2,14,4109,3
MI,2001,3854,368,3,11,4236,1
MI,2002,3862,348,5,16,4231,4
MI,2003,3855,344,7,12,4218,2
MI,2004,3757,351,8,6,4122,1
MI,2005,3367,283,11,3,3664,1
MI,2006,3758,404,9,7,4178,1
MI,2007,3141,528,8,18,3695,0
MI,2008,2996,563,10,14,3583,1
MI,2009,2983,510,17,6,3516,0
MI,2010,3823,427,8,19,4277,0
MI,2011,3964,382,36,15,4397,0
MI,2012,4598,377,12,10,4997,0
MI,2013,5119,487,27,7,5640,0
MI,2014,5306,479,27,10,5822,0
