State,Year,Utility,Design,Plant,Reissue,Total,SIRS
MS,1992,121,25,0,0,146,0
MS,1993,102,38,0,0,140,0
MS,1994,117,44,0,1,162,1
MS,1995,103,31,0,0,134,0
MS,1996,137,26,5,0,168,0
MS,1997,157,27,0,0,184,0
MS,1998,173,24,3,0,200,0
MS,1999,183,35,1,1,220,0
MS,2000,182,29,0,0,211,0
MS,2001,166,56,3,1,226,2
MS,2002,156,21,2,1,180,0
MS,2003,162,20,2,0,184,0
MS,2004,135,22,1,1,159,0
MS,2005,114,12,0,1,127,0
MS,2006,119,31,0,2,152,1
MS,2007,142,41,1,0,184,0
MS,2008,102,40,0,0,142,0
MS,2009,125,16,1,2,144,0
MS,2010,145,24,3,0,172,0
MS,2011,147,23,1,1,172,0
MS,2012,140,18,1,2,161,0
MS,2013,161,15,2,0,178,0
MS,2014,153,19,5,0,177,0
