State,Year,Utility,Design,Plant,Reissue,Total,SIRS
ND,1992,58,10,0,0,68,0
ND,1993,60,5,0,1,66,0
ND,1994,51,9,0,0,60,1
ND,1995,58,5,0,0,63,0
ND,1996,62,10,0,0,72,0
ND,1997,42,6,0,2,50,0
ND,1998,65,4,0,0,69,0
ND,1999,68,8,1,0,77,0
ND,2000,85,13,0,0,98,0
ND,2001,97,9,1,0,107,0
ND,2002,73,13,0,0,86,0
ND,2003,55,7,0,0,62,0
ND,2004,53,12,1,0,66,0
ND,2005,74,4,3,0,81,0
ND,2006,66,8,3,0,77,0
ND,2007,82,10,0,0,92,0
ND,2008,63,9,0,0,72,0
ND,2009,82,10,0,0,92,0
ND,2010,107,4,0,1,112,0
ND,2011,84,10,0,1,95,0
ND,2012,96,2,0,0,98,0
ND,2013,111,19,0,1,131,0
ND,2014,104,16,0,0,120,0
ND,2015,118,9,0,0,127,0
