State,Year,Utility,Design,Plant,Reissue,Total,SIRS
NJ,1993,2913,302,4,9,3246,18
NJ,1994,2925,314,4,4,3247,9
NJ,1995,2753,283,3,14,3053,13
NJ,1996,3093,275,0,8,3376,11
NJ,1997,3189,261,2,9,3461,2
NJ,1998,3770,417,3,10,4200,6
NJ,1999,3988,367,3,9,4367,5
NJ,2000,3889,484,3,18,4394,5
NJ,2001,3869,398,2,12,4281,5
NJ,2002,3762,311,4,19,4096,2
NJ,2003,3522,381,4,13,3920,3
NJ,2004,2957,380,5,10,3352,2
NJ,2005,2557,307,1,3,2868,0
NJ,2006,3172,434,6,15,3627,2
NJ,2007,2693,442,7,10,3152,2
NJ,2008,2722,506,11,8,3247,0
NJ,2009,2839,405,4,11,3259,0
NJ,2010,3874,444,7,20,4345,0
NJ,2011,3852,394,6,25,4277,1
NJ,2012,4224,413,1,18,4656,0
NJ,2013,4717,521,5,14,5257,0
NJ,2014,5036,461,2,9,5508,0
