State,Year,Utility,Design,Plant,Reissue,Total,SIRS
NM,1992,237,15,0,0,252,0
NM,1993,233,26,0,0,261,2
NM,1994,232,27,1,0,260,1
NM,1995,256,24,0,1,281,1
NM,1996,225,16,0,1,242,0
NM,1997,261,15,1,4,281,0
NM,1998,343,20,0,0,363,0
NM,1999,338,15,0,3,356,0
NM,2000,323,22,0,2,347,0
NM,2001,376,15,0,0,391,0
NM,2007,286,15,0,3,304,0
NM,2008,280,14,0,1,295,0
NM,2009,303,26,0,0,329,0
NM,2010,434,15,0,6,455,0
NM,2011,389,18,1,4,412,0
NM,2012,417,27,0,0,444,0
NM,2013,443,27,0,1,471,0
NM,2014,423,22,0,0,445,0
NM,2015,427,28,0,0,455,Not Provided
