State,Year,Utility,Design,Plant,Reissue,Total,SIRS
NV,1992,150,16,0,1,167,0
NV,1993,139,42,0,1,182,0
NV,1994,171,39,0,1,211,1
NV,1995,167,48,0,0,215,1
NV,1996,195,36,0,1,232,0
NV,1997,182,45,0,0,227,0
NV,1998,270,59,0,3,332,0
NV,1999,295,56,0,5,356,0
NV,2000,318,86,0,2,406,0
NV,2001,313,56,0,2,371,0
NV,2002,308,60,0,0,368,0
NV,2003,388,66,0,1,455,0
NV,2004,410,65,0,1,476,0
NV,2005,383,58,0,2,443,0
NV,2006,386,84,0,2,472,0
NV,2007,367,97,0,4,468,0
NV,2008,375,86,0,3,464,0
NV,2009,338,87,0,1,426,0
NV,2010,540,96,0,3,639,0
NV,2011,554,116,0,4,674,0
NV,2012,752,128,0,2,882,0
NV,2013,840,157,0,6,1003,0
NV,2014,834,135,0,0,969,0
NV,2015,725,63,0,1,789,0
