State,Year,Utility,Design,Plant,Reissue,Total,SIRS
OH,1993,2529,426,11,10,2978,2
OH,1994,2594,476,12,10,3092,10
OH,1995,2418,549,5,4,2976,11
OH,1996,2616,527,5,8,3156,17
OH,1997,2715,542,17,6,3280,15
OH,1998,3273,604,4,10,3891,7
OH,1999,3362,628,3,10,4003,2
OH,2000,3197,809,5,9,4020,8
OH,2001,3274,701,2,14,3991,4
OH,2007,2255,785,0,18,3058,4
OH,2008,2227,910,4,12,3153,3
OH,2009,2341,676,1,5,3023,0
OH,2010,3230,739,2,12,3983,0
OH,2011,3177,712,1,13,3903,0
OH,2012,3387,708,4,11,4110,0
OH,2013,3689,598,1,10,4298,0
OH,2014,3755,621,5,3,4384,0
OH,2015,3590,689,13,6,4298,Not Provided
