State,Year,Utility,Design,Plant,Reissue,Total,SIRS
PA,1993,2677,304,5,7,3002,9
PA,1994,2816,262,1,4,3083,4
PA,1995,2645,270,3,7,2925,2
PA,1996,2922,293,3,7,3225,1
PA,1997,2697,219,6,9,2931,3
PA,1998,3369,373,5,11,3758,4
PA,1999,3752,307,10,8,4077,0
PA,2000,3636,343,6,13,3998,5
PA,2001,3534,271,22,12,3839,3
PA,2002,3343,276,10,12,3641,1
PA,2003,3177,370,4,4,3555,0
PA,2004,2883,322,10,8,3223,1
PA,2005,2298,240,4,4,2546,0
PA,2006,2842,330,4,10,3186,5
PA,2007,2500,473,3,10,2986,1
PA,2008,2414,424,6,6,2850,0
PA,2009,2656,387,13,8,3064,2
PA,2010,3351,513,2,21,3887,2
PA,2011,3219,411,7,15,3652,0
PA,2012,3483,397,4,10,3894,0
PA,2013,3961,375,4,18,4358,0
PA,2014,4091,379,10,4,4484,0
