State,Year,Utility,Design,Plant,Reissue,Total,SIRS
SD,1992,33,10,0,0,43,0
SD,1993,32,12,0,0,44,0
SD,1994,44,3,0,0,47,0
SD,1995,33,11,0,0,44,0
SD,1996,43,6,0,0,49,0
SD,1997,46,7,0,0,53,0
SD,1998,50,7,0,0,57,0
SD,1999,66,12,0,0,78,0
SD,2000,86,12,0,0,98,0
SD,2001,76,9,0,0,85,0
SD,2002,76,14,0,0,90,0
SD,2003,80,9,0,0,89,0
SD,2004,82,6,0,0,88,0
SD,2005,66,2,0,0,68,0
SD,2006,74,4,1,0,79,0
SD,2007,60,6,0,0,66,0
SD,2008,54,6,0,0,60,0
SD,2009,46,10,0,0,56,0
SD,2010,70,12,0,0,82,0
SD,2011,96,10,0,0,106,0
SD,2012,113,16,0,0,129,0
SD,2013,129,7,0,0,136,0
SD,2014,115,13,0,0,128,0
SD,2015,113,15,0,0,128,0
