State,Year,Utility,Design,Plant,Reissue,Total,SIRS
TN,1992,534,55,1,4,594,0
TN,1993,554,78,0,5,638,1
TN,1994,591,93,1,0,685,0
TN,1995,594,111,0,2,707,1
TN,1996,632,82,0,4,718,0
TN,1997,645,95,3,2,745,1
TN,1998,783,124,2,3,912,0
TN,1999,855,155,1,3,1014,4
TN,2000,781,156,2,3,942,20
TN,2001,813,136,2,7,958,4
TN,2002,831,166,6,0,1003,0
TN,2003,799,168,4,2,973,2
TN,2004,681,193,0,0,874,0
TN,2005,584,128,0,0,712,1
TN,2006,669,144,1,3,817,0
TN,2007,618,170,3,2,793,0
TN,2008,586,207,2,3,798,0
TN,2009,647,134,1,3,785,0
TN,2010,925,105,1,6,1037,0
TN,2011,969,101,4,6,1080,0
TN,2012,930,130,1,4,1065,0
TN,2013,1003,100,0,7,1110,1
TN,2014,1060,116,1,4,1181,0
TN,2015,1009,109,4,5,1127,0
