State,Year,Utility,Design,Plant,Reissue,Total,SIRS
TX,1992,3,296,1,17,3,8
TX,1993,3390,323,0,12,3745,20
TX,1994,3878,360,3,12,4253,16
TX,1995,3885,393,4,14,4296,17
TX,1996,4172,309,1,9,4491,21
TX,1997,4139,276,6,17,4438,10
TX,1998,5575,377,7,12,5971,8
TX,1999,6049,344,5,19,6417,7
TX,2000,6323,427,6,29,6785,4
TX,2001,6371,360,8,21,6760,4
TX,2002,6030,289,5,16,6340,2
TX,2003,6027,331,7,11,6376,2
TX,2004,5930,290,7,12,6239,2
TX,2005,5260,257,1,6,5524,2
TX,2006,6308,385,2,21,6716,1
TX,2007,5733,467,8,20,6228,0
TX,2008,5712,448,2,22,6184,0
TX,2009,5934,486,4,12,6436,0
TX,2010,7545,448,5,28,8026,1
TX,2011,7584,420,1,39,8044,1
TX,2012,8367,531,0,31,8929,1
TX,2013,9222,571,4,23,9820,1
TX,2014,10022,638,4,27,10691,1
TX,2015,9934,608,6,13,10561,0
