State,Year,Utility,Design,Plant,Reissue,Total,SIRS
UT,1992,376,53,0,4,433,3
UT,1993,419,49,0,3,472,1
UT,1994,422,57,0,2,481,2
UT,1995,508,44,0,2,554,0
UT,1996,540,59,0,4,603,0
UT,1997,611,51,0,2,664,0
UT,1998,666,63,1,1,731,0
UT,1999,678,62,6,2,748,0
UT,2000,707,81,0,3,791,0
UT,2001,715,84,1,3,803,0
UT,2007,638,126,0,2,766,0
UT,2008,642,85,0,0,727,0
UT,2009,765,88,0,2,855,0
UT,2010,1017,124,0,4,1145,0
UT,2011,1066,144,0,5,1215,0
UT,2012,1167,151,0,9,1327,0
UT,2013,1228,182,0,4,1414,0
UT,2014,1374,148,0,4,1526,0
UT,2015,1404,187,0,4,1595,Not Provided
