State,Year,Utility,Design,Plant,Reissue,Total,SIRS
VA,1992,891,90,0,2,983,5
VA,1993,875,105,0,3,986,3
VA,1994,858,105,1,5,969,4
VA,1995,823,112,5,2,942,4
VA,1996,859,104,0,2,965,2
VA,1997,818,93,0,3,914,3
VA,1998,1051,104,0,2,1157,6
VA,1999,1043,102,2,3,1150,2
VA,2000,1143,136,0,2,1281,5
VA,2001,1115,157,1,2,1275,6
VA,2002,1160,135,1,3,1299,3
VA,2003,1114,129,0,6,1249,1
VA,2004,1077,103,1,0,1181,1
VA,2005,946,80,0,1,1027,3
VA,2006,1094,128,0,9,1231,1
VA,2007,1004,149,1,8,1162,3
VA,2008,1030,144,1,5,1180,3
VA,2009,1073,131,1,3,1208,1
VA,2010,1587,131,0,6,1724,2
VA,2011,1600,127,0,10,1737,7
VA,2012,1691,111,1,10,1813,4
VA,2013,1886,130,0,10,2026,5
VA,2014,2078,97,1,8,2184,0
VA,2015,2057,160,1,4,2222,0
