State,Year,Utility,Design,Plant,Reissue,Total,SIRS
VT,1992,116,15,0,2,133,0
VT,1993,131,23,0,0,154,0
VT,1994,140,31,0,0,171,0
VT,1995,148,21,0,1,170,0
VT,1996,254,27,0,1,282,0
VT,1997,277,14,0,0,291,0
VT,1998,322,20,0,0,342,0
VT,1999,340,22,0,1,363,0
VT,2000,378,38,0,0,416,0
VT,2001,453,53,0,1,507,0
VT,2007,472,74,0,0,546,0
VT,2008,437,76,0,1,514,0
VT,2009,452,48,0,0,500,0
VT,2010,642,26,0,0,668,0
VT,2011,504,31,0,1,536,0
VT,2012,487,19,0,0,506,0
VT,2013,529,15,5,2,551,0
VT,2014,578,32,0,0,610,0
VT,2015,451,18,0,1,470,Not Provided
