State,Year,Utility,Design,Plant,Reissue,Total,SIRS
WI,1993,1139,187,0,10,1339,3
WI,1994,1165,216,3,7,1391,0
WI,1995,1208,209,1,4,1422,1
WI,1996,1320,197,0,4,1521,0
WI,1997,1301,218,0,7,1526,1
WI,1998,1567,306,1,4,1878,2
WI,1999,1675,316,0,7,1998,1
WI,2000,1685,385,0,7,2077,1
WI,2001,1837,403,2,7,2249,4
WI,2007,1412,504,4,7,1927,1
WI,2008,1349,557,5,10,1921,0
WI,2009,1467,413,5,2,1887,0
WI,2010,1814,404,3,11,2232,0
WI,2011,1784,352,5,13,2154,0
WI,2012,1785,492,4,8,2289,0
WI,2013,2025,464,6,7,2502,0
WI,2014,2107,526,12,6,2651,0
WI,2015,2039,520,6,6,2571,Not Provided
