State,Year,Utility,Design,Plant,Reissue,Total,SIRS
WV,1992,181,6,0,1,188,0
WV,1993,172,8,0,0,180,0
WV,1994,142,21,0,0,163,1
WV,1995,133,16,0,0,149,0
WV,1996,114,24,0,1,139,0
WV,1997,146,18,0,0,164,0
WV,1998,189,20,1,0,210,1
WV,1999,149,15,0,2,166,0
WV,2000,144,14,0,0,158,0
WV,2001,148,12,0,1,161,0
WV,2007,106,10,0,0,116,0
WV,2008,74,16,0,1,91,0
WV,2009,92,8,2,0,102,0
WV,2010,118,14,2,0,134,0
WV,2011,94,15,0,0,109,0
WV,2012,135,6,1,0,142,0
WV,2013,145,8,0,0,153,0
WV,2014,134,1,2,0,137,0
WV,2015,127,7,2,0,136,Not Provided
