state,year,utility,design,plant,reissue,total,sirs
AL,1992,258,39,0,2,299,2
AL,1993,271,51,1,1,324,0
AL,1994,259,76,3,0,338,0
AL,1995,282,70,4,3,359,0
AL,1996,278,57,1,0,336,0
AL,1997,300,45,0,0,345,0
AL,1998,366,54,2,1,423,0
AL,1999,401,62,2,4,469,0
AL,2000,337,58,0,0,395,0
AL,2001,382,65,5,0,452,1
AL,2002,398,38,3,2,441,0
AL,2003,397,55,5,2,459,0
AL,2004,375,33,4,0,412,0
AL,2005,318,37,4,0,359,0
AL,2006,357,70,1,1,429,1
AL,2007,300,55,2,1,358,0
AL,2008,279,68,6,1,354,0
AL,2009,304,57,14,2,377,0
AL,2010,444,87,4,3,538,0
AL,2011,352,59,4,1,416,0
AL,2012,413,63,0,2,478,0
AL,2013,503,69,0,0,572,1
AL,2014,500,49,7,1,557,0
AL,2015,473,42,2,2,519,0
AK,1992,39,10,0,0,49,0
AK,1993,50,14,0,0,64,0
AK,1994,48,7,0,0,55,1
AK,1995,39,9,0,1,49,0
AK,1996,36,16,0,0,52,0
AK,1997,46,14,0,0,60,0
AK,1998,63,12,0,0,75,0
AK,1999,53,13,0,0,66,0
AK,2000,44,13,0,0,57,0
AK,2001,50,8,0,0,58,0
AK,2002,43,7,0,0,50,0
AK,2003,37,6,0,0,43,0
AK,2004,39,10,0,0,49,0
AK,2005,35,1,0,0,36,0
AK,2006,36,9,0,0,45,0
AK,2007,18,6,0,0,24,0
AK,2008,20,8,0,0,28,0
AK,2009,39,16,0,0,55,0
AK,2010,28,4,0,1,33,0
AK,2011,27,5,0,0,32,0
AK,2012,28,18,0,0,46,0
AK,2013,46,8,0,0,54,1
AK,2014,49,2,0,0,51,0
AK,2015,40,6,0,0,46,0
AZ,1992,836,61,0,3,900,2
AZ,1993,848,75,0,5,929,1
AZ,1994,929,121,2,1,1053,0
AZ,1995,999,117,2,1,1119,0
AZ,1996,1062,83,2,6,1153,0
AZ,1997,1049,114,0,0,1163,0
AZ,1998,1514,161,0,3,1678,0
AZ,1999,1498,118,1,5,1622,0
AZ,2000,1595,151,1,9,1756,0
AZ,2001,1540,158,0,4,1702,0
AZ,2002,1587,107,0,5,1699,0
AZ,2003,1582,127,0,5,1714,0
AZ,2004,1621,103,2,4,1730,0
AZ,2005,1457,137,0,4,1598,0
AZ,2006,1705,183,0,5,1893,0
AZ,2007,1571,249,0,6,1826,0
AZ,2008,1584,303,0,5,1892,0
AZ,2009,1562,190,4,3,1759,0
AZ,2010,1976,179,1,13,2169,0
AZ,2011,2069,172,2,5,2248,0
AZ,2012,2210,152,1,7,2370,0
AZ,2013,2225,196,2,4,2427,0
AZ,2014,2517,146,3,5,2671,0
AZ,2015,2540,194,3,4,2741,0
AR,1992,140,35,0,0,175,0
AR,1993,114,36,4,0,154,0
AR,1994,120,39,0,0,159,0
AR,1995,106,37,0,0,143,0
AR,1996,114,47,0,1,162,0
AR,1997,125,25,2,0,152,0
AR,1998,144,38,0,1,183,0
AR,1999,188,37,0,1,226,0
AR,2000,215,33,0,0,248,0
AR,2001,180,36,3,3,222,0
AR,2002,184,24,4,1,213,0
AR,2003,152,23,1,0,176,0
AR,2004,132,27,1,0,160,0
AR,2005,126,26,1,0,153,0
AR,2006,138,43,3,1,185,0
AR,2007,113,53,2,1,169,0
AR,2008,108,40,2,2,152,0
AR,2009,96,58,0,0,154,0
AR,2010,144,70,2,0,216,0
AR,2011,134,52,0,2,188,0
AR,2012,178,57,3,0,238,0
AR,2013,159,69,1,0,229,0
AR,2014,204,52,2,1,259,0
AR,2015,233,68,6,0,307,0
CA,1992,7,1,128,33,9,11
CA,1993,8170,1211,159,28,9579,11
CA,1994,8956,1238,168,31,10393,14
CA,1995,9262,1398,112,36,10808,16
CA,1996,10474,1329,107,36,11946,12
CA,1997,11289,1475,114,25,12903,12
CA,1998,15793,1890,112,29,17824,7
CA,1999,16778,1950,81,46,18855,10
CA,2000,17492,2162,132,58,19844,1
CA,2001,18598,2014,194,48,20854,9
CA,2002,18831,2080,267,56,21234,4
CA,2003,19692,2138,197,48,22075,4
CA,2004,19488,1861,210,42,21601,1
CA,2005,17989,1532,106,29,19656,6
CA,2006,22275,2531,165,68,25039,4
CA,2007,19600,2799,127,68,22594,7
CA,2008,19181,2766,180,73,22200,2
CA,2009,20646,2506,135,67,23354,0
CA,2010,27337,2515,101,123,30076,4
CA,2011,28148,2364,94,142,30748,2
CA,2012,32107,2369,84,99,34659,1
CA,2013,36193,2705,133,108,39139,0
CA,2014,40661,2828,119,71,43679,0
CA,2015,40196,3230,103,80,43609,0
CO,1992,849,94,0,7,950,0
CO,1993,910,140,0,4,1057,3
CO,1994,1045,130,0,5,1180,1
CO,1995,1098,102,0,8,1208,0
CO,1996,1178,139,0,3,1320,0
CO,1997,1220,123,0,1,1344,1
CO,1998,1750,161,1,4,1916,0
CO,1999,1810,168,0,6,1984,0
CO,2000,1850,217,0,8,2075,1
CO,2001,1927,177,1,3,2108,2
CO,2002,1939,182,0,8,2129,1
CO,2003,2068,227,2,4,2301,3
CO,2004,2099,189,1,0,2289,1
CO,2005,1854,113,1,4,1972,0
CO,2006,2118,223,0,8,2349,0
CO,2007,1745,232,1,5,1983,0
CO,2008,1622,237,1,8,1868,0
